run_id,run_label,start_time_iso,measurement_start_time_iso,end_time_iso,camera,detector,landmarks,show,dry_run_serial,warmup_frames,max_frames,max_seconds,total_frames,measured_frames,hand_detected_frames,landmarks_frames,pose_sent_frames,measurement_duration_s,fps_mean,fps_median,fps_std,frame_time_mean_ms,frame_time_median_ms,frame_time_std_ms,frame_time_min_ms,frame_time_max_ms,frame_time_p95_ms,capture_time_mean_ms,capture_time_p95_ms,detector_time_mean_ms,detector_time_p95_ms,landmarks_time_mean_ms,landmarks_time_p95_ms,control_time_mean_ms,control_time_p95_ms,serial_time_mean_ms,serial_time_p95_ms,serial_time_sent_mean_ms,display_time_mean_ms,display_time_p95_ms,inference_time_mean_ms,inference_time_p95_ms,pipeline_time_mean_ms,pipeline_time_p95_ms,cpu_percent_mean,cpu_percent_p95,frame_csv
dg_wrist_rotate_hailo_20260423_212157,dg_wrist_rotate_hailo,2026-04-23T21:21:57,2026-04-23T21:22:04,2026-04-23T21:22:44,/dev/video0,yolov8n_relu6_hand--640x640_quant_hailort_hailo8_1,hand_landmark_lite--224x224_quant_hailort_hailo8_1,1,0,30,0,40.0,1108,1078,739,634,319,40.070063,28.548597,27.605219,7.136134,37.032258,36.225035,9.887084,14.649229,135.784839,48.11691,4.207552,17.459979,18.382092,26.581404,7.972284,15.481837,8.344099,16.102237,0.889402,0.949598,3.005566,5.151163,7.914623,26.354377,40.178072,39.79543,56.71704,,,/home/maurice/Desktop/Procesarea-Gesturilor-Mainii/results/dg_wrist_rotate_hailo_20260423_212157_frames.csv
dg_wrist_rotate_hailo_20260423_212251,dg_wrist_rotate_hailo,2026-04-23T21:22:51,2026-04-23T21:22:57,2026-04-23T21:23:37,/dev/video0,yolov8n_relu6_hand--640x640_quant_hailort_hailo8_1,hand_landmark_lite--224x224_quant_hailort_hailo8_1,1,0,30,0,40.0,1077,1047,933,910,294,40.071188,27.823577,27.442387,6.623424,38.128677,36.439979,12.131096,14.445877,142.38199,49.055852,1.749886,8.446661,19.203596,26.577839,10.29614,15.749522,10.746257,16.70206,1.292895,0.944706,4.604289,5.091216,7.384053,29.499736,40.138097,43.288773,57.848393,,,/home/maurice/Desktop/Procesarea-Gesturilor-Mainii/results/dg_wrist_rotate_hailo_20260423_212251_frames.csv
dg_wrist_rotate_hailo_20260423_212441,dg_wrist_rotate_hailo,2026-04-23T21:24:41,2026-04-23T21:24:49,2026-04-23T21:25:29,/dev/video0,yolov8n_relu6_hand--640x640_quant_hailort_hailo8_1,hand_landmark_lite--224x224_quant_hailort_hailo8_1,1,0,30,0,40.0,1093,1063,944,833,291,40.061621,27.604967,27.223273,5.946998,37.548737,36.733276,6.692132,14.801266,68.462919,48.134976,1.88,11.185023,19.582446,27.186353,10.267726,15.702262,10.704758,16.272358,0.177801,0.873404,0.649495,5.153286,7.594886,29.850172,40.483898,42.612732,56.911952,,,/home/maurice/Desktop/Procesarea-Gesturilor-Mainii/results/dg_wrist_rotate_hailo_20260423_212441_frames.csv
dg_wrist_rotate_hailo_20260603_212001,dg_wrist_rotate_hailo,2026-06-03T21:20:01,2026-06-03T21:20:10,2026-06-03T21:20:15,/dev/video0,yolov8n_relu6_hand--640x640_quant_hailort_hailo8_1,hand_landmark_lite--224x224_quant_hailort_hailo8_1,1,0,30,0,5.0,106,76,76,76,38,5.109248,15.115117,15.123956,0.622199,66.270543,66.12027,2.750525,60.866509,72.947885,70.962857,34.647203,37.770079,15.903276,18.714398,9.897754,11.753699,10.480042,12.519057,0.246858,0.928302,0.493716,4.949744,5.868984,25.80103,28.653043,71.175133,76.727744,28.763158,38.55,/home/maurice/Desktop/Procesarea-Gesturilor-Mainii/results/dg_wrist_rotate_hailo_20260603_212001_frames.csv
dg_wrist_rotate_hailo_20260603_212921,dg_wrist_rotate_hailo,2026-06-03T21:29:21,2026-06-03T21:29:29,2026-06-03T21:29:35,/dev/video0,yolov8n_relu6_hand--640x640_quant_hailort_hailo8_1,hand_landmark_lite--224x224_quant_hailort_hailo8_1,1,0,30,0,5.0,107,77,77,77,38,5.17396,15.628124,15.001989,3.223454,66.322045,66.657829,14.148521,32.135413,163.114865,70.722961,33.399761,39.422441,16.025955,18.842892,9.88306,11.917649,10.367649,12.39869,2.488409,0.967383,5.042302,4.006717,4.688733,25.909015,30.751152,72.164835,78.118918,26.379221,41.82,/home/maurice/Desktop/Procesarea-Gesturilor-Mainii/results/dg_wrist_rotate_hailo_20260603_212921_frames.csv
dg_wrist_rotate_hailo_20260603_215059,dg_wrist_rotate_hailo,2026-06-03T21:50:59,2026-06-03T21:51:07,2026-06-03T21:51:32,/dev/video0,yolov8n_relu6_hand--640x640_quant_hailort_hailo8_1,hand_landmark_lite--224x224_quant_hailort_hailo8_1,0,0,30,0,25.0,407,377,303,302,160,25.15861,15.290432,15.076522,2.346883,66.550619,66.328295,8.711664,26.046731,127.751573,75.620385,42.076364,57.072896,15.044098,19.375189,7.900738,11.462785,8.138756,11.792616,1.261779,0.828063,2.973068,0.000454,0.000652,22.944836,29.418384,74.421736,85.76123,14.877719,25.0,/home/maurice/Desktop/Procesarea-Gesturilor-Mainii/results/dg_wrist_rotate_hailo_20260603_215059_frames.csv
dg_wrist_rotate_hailo_20260603_215538,dg_wrist_rotate_hailo,2026-06-03T21:55:38,2026-06-03T21:55:46,2026-06-03T21:56:11,/dev/video0,yolov8n_relu6_hand--640x640_quant_hailort_hailo8_1,hand_landmark_lite--224x224_quant_hailort_hailo8_1,1,0,30,0,25.0,403,373,360,357,177,25.17178,15.247121,15.134995,2.097102,66.889264,66.07204,11.282145,33.434299,173.823697,73.229007,31.1401,37.002617,16.689463,19.598026,9.986726,13.102048,10.433539,13.587609,1.979948,0.945288,4.172433,6.606401,8.135879,26.676189,30.927677,70.229776,77.772087,8.055027,11.0,/home/maurice/Desktop/Procesarea-Gesturilor-Mainii/results/dg_wrist_rotate_hailo_20260603_215538_frames.csv
mp_wrist_rotate_cpu_20260603_221834,mp_wrist_rotate_cpu,2026-06-03T22:18:34,2026-06-03T22:18:39,2026-06-03T22:19:05,/dev/video0,mediapipe_hands,mediapipe_hands,1,0,30,0,25.0,396,366,341,341,150,25.15954,15.136583,15.104478,2.416276,68.241991,66.205532,15.62103,37.188319,164.292132,74.920235,25.878221,32.127152,0.0,0.0,32.869973,39.838207,0.074343,0.084125,3.675431,0.937964,8.968051,5.715215,7.233289,32.869973,39.838207,62.497969,68.313304,6.5,8.93,/home/maurice/Desktop/Procesarea-Gesturilor-Mainii/results/mp_wrist_rotate_cpu_20260603_221834_frames.csv
mp_wrist_rotate_cpu_20260603_222001,mp_wrist_rotate_cpu,2026-06-03T22:20:01,2026-06-03T22:20:05,2026-06-03T22:20:31,/dev/video0,mediapipe_hands,mediapipe_hands,1,0,30,0,25.0,407,377,187,187,93,25.072212,15.178693,15.066482,1.172347,66.247677,66.372493,4.898786,41.509399,99.809676,72.930652,25.355172,33.405019,0.0,0.0,36.098218,43.682206,0.053814,0.074648,0.112976,0.725324,0.457979,4.602299,6.247195,36.098218,43.682206,61.620181,67.568616,6.2,9.7,/home/maurice/Desktop/Procesarea-Gesturilor-Mainii/results/mp_wrist_rotate_cpu_20260603_222001_frames.csv
dg_wrist_rotate_hailo_20260603_222038,dg_wrist_rotate_hailo,2026-06-03T22:20:38,2026-06-03T22:20:47,2026-06-03T22:21:12,/dev/video0,yolov8n_relu6_hand--640x640_quant_hailort_hailo8_1,hand_landmark_lite--224x224_quant_hailort_hailo8_1,1,0,30,0,25.0,407,377,222,222,110,25.173934,15.143498,15.029012,0.760645,66.197429,66.537975,3.251002,55.938659,74.85658,71.060309,42.374453,53.846922,13.347545,17.657087,5.561993,10.848706,5.861199,11.378644,0.15474,0.776508,0.530335,4.431325,6.398624,18.909538,27.946348,67.29993,76.69635,4.639324,7.15,/home/maurice/Desktop/Procesarea-Gesturilor-Mainii/results/dg_wrist_rotate_hailo_20260603_222038_frames.csv
mp_wrist_rotate_cpu_20260603_222557,mp_wrist_rotate_cpu,2026-06-03T22:25:57,2026-06-03T22:26:02,2026-06-03T22:26:28,/dev/video0,mediapipe_hands,mediapipe_hands,1,0,30,0,25.0,407,377,377,377,183,25.16764,15.1353,15.046405,0.821306,66.261884,66.461057,3.54387,56.228482,77.512052,71.95312,27.869926,32.006803,0.0,0.0,32.42366,36.818467,0.076874,0.083556,0.252474,0.85231,0.520124,5.601077,7.467473,32.42366,36.818467,60.622934,66.050104,6.8,8.74,/home/maurice/Desktop/Procesarea-Gesturilor-Mainii/results/mp_wrist_rotate_cpu_20260603_222557_frames.csv
dg_wrist_rotate_hailo_20260603_222940,dg_wrist_rotate_hailo,2026-06-03T22:29:40,2026-06-03T22:29:48,2026-06-03T22:30:13,/dev/video0,yolov8n_relu6_hand--640x640_quant_hailort_hailo8_1,hand_landmark_lite--224x224_quant_hailort_hailo8_1,1,0,30,0,25.0,406,376,346,346,174,25.109652,15.146985,15.082443,0.992627,66.2914,66.302264,4.18462,50.851369,82.798381,72.854785,36.337341,47.00946,15.168356,18.035871,8.907569,12.097626,9.316646,12.548412,0.244484,0.88155,0.52831,5.179755,6.399689,24.075925,28.776572,69.974396,77.326516,5.119282,8.025,/home/maurice/Desktop/Procesarea-Gesturilor-Mainii/results/dg_wrist_rotate_hailo_20260603_222940_frames.csv
